2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.038 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.026 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.03 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.032 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.092 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.038 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.028 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.04 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.029 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.027 seconds.
2020-09-22 13:44:46 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.089 seconds.
2020-09-22 13:44:47 INFO  Waitings:40 - TOTAL TIME that the NEXT DYNAMICALLY LOADED ROW in 'LOG MESSAGES' Table web-element was loading: 0.023 seconds.
